"The Champions","The Champions"
"Giant-Size Chillers","Giant-Size Chillers"
"Giant-Size Kid Colt","Giant-Size Kid Colt"
"Giant-Size Marvel Triple Action","Giant-Size Marvel Triple Action"
"Giant-Size Super-Villain Team-Up","Giant-Size Super-Villain Team-Up"
"Giant-Size X-Men","Giant-Size X-Men"
"The Inhumans","The Inhumans"
"The Invaders","The Invaders"
"Iron Fist","Iron Fist"
"Marvel Chillers","Marvel Chillers"
"Marvel Presents","Marvel Presents"
"Skull the Slayer","Skull the Slayer"
"Son of Satan","Son of Satan"
"Super-Villain Team-Up","Super-Villain Team-Up"
"2001, A Space Odyssey","2001, A Space Odyssey"
"Black Goliath","Black Goliath"
"The Eternals","The Eternals"
"Howard the Duck","Howard the Duck"
"The Incredible Hulk Annual","The Incredible Hulk Annual"
"Marvel Adventure","Marvel Adventure"
"Marvel Team-Up Annual","Marvel Team-Up Annual"
"Marvel Two-in-One Annual","Marvel Two-in-One Annual"
"Nova","Nova"
"Omega the Unknown","Omega the Unknown"
"The Spectacular Spider-Man","The Spectacular Spider-Man"
"Black Panther","Black Panther"
"Dynomutt","Dynomutt"
"The Flintstones","The Flintstones"
"Godzilla","Godzilla"
"The Human Fly","The Human Fly"
"Iron Man Annual","Iron Man Annual"
"John Carter Warlord of Mars","John Carter Warlord of Mars"
"John Carter Warlord of Mars Annual","John Carter Warlord of Mars Annual"
"Marvel Comics Super Special","Marvel Comics Super Special"
"Ms. Marvel","Ms. Marvel"
"Red Sonja","Red Sonja"
"Scooby-Doo","Scooby-Doo"
"Star Wars","Star Wars"
"Tarzan","Tarzan"
"Tarzan Annual","Tarzan Annual"
"What If?","What If?"
"Yogi Bear","Yogi Bear"
"Devil Dinosaur","Devil Dinosaur"
"Laff-A-Lympics","Laff-A-Lympics"
"Machine Man","Machine Man"
"Man from Atlantis","Man from Atlantis"
"Power Man and Iron Fist","Power Man and Iron Fist"
"Spider-Woman","Spider-Woman"
"Hanna-Barbera Spotlight","Hanna-Barbera Spotlight"
"TV Stars","TV Stars"
"Battlestar Galactica","Battlestar Galactica"
"Fun and Games Magazine","Fun and Games Magazine"
"Micronauts","Micronauts"
"Micronauts Annual","Micronauts Annual"
"Rom","Rom"
"Shogun Warriors","Shogun Warriors"
"The Spectacular Spider-Man Annual","The Spectacular Spider-Man Annual"
"Star Wars Annual","Star Wars Annual"
"The Tomb of Dracula","The Tomb of Dracula"
"Epic Illustrated","Epic Illustrated"
"King Conan","King Conan"
"Moon Knight","Moon Knight"
"The Savage She-Hulk","The Savage She-Hulk"
"Star Trek","Star Trek"
"Bizarre Adventures","Bizarre Adventures"
